Year,Species,Tonnes,Days,CPUE,y,yhat1
2001,Coral trout,2268.30228,36605,0.0619670066930747,-0.0242427832554148,-0.0527864881569462
2002,Coral trout,2202.48071,39069,0.0563741255215132,-0.0945918074022503,-0.105660265744121
2003,Coral trout,1858.25919,35892,0.0517736317285189,-0.0851293062184055,-0.068530486662699
2004,Coral trout,1251.55492,22218,0.0563306742281033,0.0843582424188294,0.0532510494589642
2005,Coral trout,1133.71455,18255,0.0621043303204601,0.0975764958272429,0.104043755773509
2006,Coral trout,1046.5986,16838,0.062156942629766,0.000846801440234302,0.0885676932267925
2007,Coral trout,1125.35198,17522,0.0642250873187992,0.0327313832145784,0.0663683630476521
2008,Coral trout,1224.29248,17215,0.0711177740342724,0.101943389413631,0.0307164296324463
2009,Coral trout,1123.8228,17039,0.065955912905687,-0.0753507594384111,-0.040687229570699
2010,Coral trout,995.554085,16367,0.060826912995662,-0.0809541935593363,-0.0232773850208898
2011,Coral trout,765.04773,14328,0.053395291038526,-0.130309779708704,-0.00704700676755499
2012,Coral trout,817.21943,13887,0.0588478022611075,0.0972319289742414,0.0352102776963386
2013,Coral trout,939.89792,13841,0.0679067928617874,0.143181583454938,0.0047954361413185
2014,Coral trout,835.70549,13517,0.0618262550861878,-0.0938079578806703,-0.0348055232906523
2015,Coral trout,811.56724,14218,0.0570802672668448,-0.079869638909178,0.0490056633773523
2016,Coral trout,980.385395,14034,0.0698578733789369,0.202004322814065,0.107127656598591
2017,Coral trout,922.44301,12219,0.0754925124805631,0.0775706811621188,0.0324898604816211
2018,Coral trout,829.58629,12383,0.0669939667285795,-0.119430912385039,0.0129657935789307
2019,Coral trout,787.11656,12612,0.0624101300348874,-0.0708749640068516,0.0736771870741428
2020,Coral trout,741.01687,9609,0.077116960141534,0.211595629771213,0.147384478272178
1990,Saddletail Snapper,10.35041,95,0.108951684210526,,
1991,Saddletail Snapper,17.70016,145,0.122070068965517,0.113690695813564,-0.152619528840182
1992,Saddletail Snapper,14.42757,178,0.0810537640449438,-0.40948252752181,-0.131208368218273
1993,Saddletail Snapper,20.98055,351,0.0597736467236467,-0.304547814542618,0.00993461237480187
1994,Saddletail Snapper,25.26168999,542,0.0466082841143911,-0.248786577556732,0.0653972903110021
1995,Saddletail Snapper,37.84481,515,0.0734850679611651,0.455303932561312,0.140399836206393
1996,Saddletail Snapper,71.22648699,1305,0.0545796835172414,-0.297420511836799,0.0112702024247175
1997,Saddletail Snapper,117.4472787,1940,0.0605398343814433,0.103639851149881,0.0918026608714069
1998,Saddletail Snapper,233.6856601,2539,0.0920384640015754,0.418905008746935,0.0700172392025846
1999,Saddletail Snapper,244.40211,2829,0.0863916967126193,-0.0633150083200484,-0.0253010477705147
2000,Saddletail Snapper,152.6934801,2454,0.0622222820293399,-0.328178400750298,0.00536904944035621
2001,Saddletail Snapper,174.56191,2876,0.0606960744089013,-0.024834143615716,0.109141282778346
2002,Saddletail Snapper,184.14746,2706,0.0680515373244641,0.114386295981286,0.0997643622542683
2003,Saddletail Snapper,181.79791,2615,0.069521189292543,0.0213662680668927,0.0502333911937736
2004,Saddletail Snapper,102.92003,1622,0.0634525462392108,-0.0913392648019822,0.039195956467303
2005,Saddletail Snapper,98.7715,1292,0.0764485294117647,0.186325373033104,0.0674272792405226
2006,Saddletail Snapper,200.7105,1213,0.165466199505359,0.772149245120865,0.0180609301998456
2007,Saddletail Snapper,224.28084,1479,0.151643569979716,-0.0872341085246355,-0.24686245737311
2008,Saddletail Snapper,290.22402,2034,0.142686342182891,-0.0608840229366148,-0.253134029511212
